begin began begun zaczynac sie
break broke broken lamac
bring brought brought przynosic
build built built budowac
buy bought bought kupic
catch caught caught lapac
choose chose chosen wybierac
come came come przychodzic
cost cost cost kosztowac
cut cut cut ciac
do did done robic
draw drew drawn rysowac
drink drank drunk pic
eat ate eaten jesc
fall fell fallen upadac
feel felt felt czuc
find found found znajdowac
fly flew flown leciec
forget forgot forgotten zapominac
get got got dostawac
give gave given dawac
go went gone isc
grow grew grown rosnac
hear heard heard slyszec
hit hit hit uderzac
hold held held zatrzymywac
hurt hurt hurt ranic
keep kept kept trzymac
know knew known wiedziec
leave left left wychodzic
lend lent lent pozyczac
lose lost lost gubic
make made made robic
meet met met spotykac
pay paid paid placic
put put put klasc
read read read czytac
run ran run biegac
say said said powiedziec
see saw seen widziec
sell sold sold sprzedawac
send sent sent wysylac
sing sang sung spiewac
sit sat sat siadac
sleep slept slept spac
speak spoke spoken mowic
stand stood stood stac
steal stole stolen krasc
swim swam swum plywac
take took taken brac
teach taught taught uczyc
tell told told powiedziec
think thought thought myslec
understand understood understood rozumiec
wear wore worn nosic
write wrote written pisac
